                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5642,                 4.4818,                 4.3262,                      0,                      0,                      0,                      0,                 5.5671,                 4.4589,                 4.1592,                      0,                      0,                      0
                      1,                 5.3473,                 4.7824,                 4.3671,                      0,                      0,                      0,                      0,                 5.5675,                 4.4588,                 4.1596,             1.4255e-05,             1.4255e-05,             1.4255e-05
                      2,                 5.5453,                 4.6772,                 4.3699,                      0,                      0,                      0,                      0,                 5.5679,                 4.4586,                 4.1599,             2.8439e-05,             2.8439e-05,             2.8439e-05
                      3,                 5.6402,                 5.1005,                 4.5267,                      0,                      0,                      0,                      0,                 5.5682,                 4.4586,                 4.1601,             4.2552e-05,             4.2552e-05,             4.2552e-05
                      4,                 5.5701,                 4.7374,                 4.3989,                      0,                      0,                      0,                      0,                 5.5686,                 4.4587,                 4.1604,             5.6594e-05,             5.6594e-05,             5.6594e-05
                      5,                 5.5544,                 4.6695,                 4.2419,                      0,                      0,                      0,                      0,                 5.5688,                 4.4589,                 4.1606,             7.0566e-05,             7.0566e-05,             7.0566e-05
                      6,                 4.7747,                  4.537,                 4.4227,                      0,                      0,                      0,                      0,                 5.5691,                 4.4594,                 4.1608,             8.4467e-05,             8.4467e-05,             8.4467e-05
                      7,                 5.5875,                 4.6889,                 4.2536,                      0,                      0,                      0,                      0,                 5.5693,                 4.4601,                 4.1609,             9.8297e-05,             9.8297e-05,             9.8297e-05
                      8,                 4.8502,                 4.4874,                 4.2272,                      0,                      0,                      0,                      0,                 5.5694,                  4.461,                 4.1609,             0.00011206,             0.00011206,             0.00011206
                      9,                 5.1856,                 4.3844,                 4.2914,                      0,                      0,                      0,                      0,                 5.5695,                 4.4621,                 4.1609,             0.00012575,             0.00012575,             0.00012575
                     10,                 5.5159,                 4.3987,                 4.2568,                      0,                      0,                      0,                      0,                 5.5695,                 4.4635,                 4.1608,             0.00013936,             0.00013936,             0.00013936
                     11,                 4.9397,                 4.1669,                 4.3212,                      0,                      0,                      0,                      0,                 5.5694,                 4.4652,                 4.1607,             0.00015291,             0.00015291,             0.00015291
                     12,                 4.9726,                 4.4623,                 4.2417,                      0,                      0,                      0,                      0,                 5.5693,                 4.4669,                 4.1605,             0.00016639,             0.00016639,             0.00016639
                     13,                 5.1238,                 4.3018,                 4.3121,                      0,                      0,                      0,                      0,                 5.5691,                 4.4686,                 4.1603,             0.00017979,             0.00017979,             0.00017979
                     14,                 5.1604,                 4.0821,                  4.253,                      0,                      0,                      0,                      0,                 5.5688,                 4.4704,                 4.1599,             0.00019313,             0.00019313,             0.00019313
                     15,                 5.2957,                 4.0687,                 4.2199,                      0,                      0,                      0,                      0,                 5.5685,                 4.4722,                 4.1595,             0.00020639,             0.00020639,             0.00020639
                     16,                 5.0383,                 4.2295,                 4.1615,                      0,                      0,                      0,                      0,                 5.5679,                 4.4737,                 4.1588,             0.00021959,             0.00021959,             0.00021959
                     17,                 4.8866,                 4.0368,                  4.147,                      0,                      0,                      0,                      0,                 5.5671,                 4.4752,                  4.158,             0.00023271,             0.00023271,             0.00023271
                     18,                 4.1583,                 3.7843,                 4.2367,                      0,                      0,                      0,                      0,                 5.5663,                 4.4769,                 4.1572,             0.00024576,             0.00024576,             0.00024576
                     19,                 5.5633,                 4.4736,                 4.0732,                      0,                      0,                      0,                      0,                 5.5652,                 4.4782,                  4.156,             0.00025874,             0.00025874,             0.00025874
                     20,                 4.9596,                 3.7617,                 4.1393,                      0,                      0,                      0,                      0,                 5.5637,                 4.4793,                 4.1547,             0.00027165,             0.00027165,             0.00027165
                     21,                 4.6483,                 3.9541,                 4.0868,                      0,                      0,                      0,                      0,                 5.5616,                 4.4803,                 4.1529,             0.00028449,             0.00028449,             0.00028449
                     22,                 4.5858,                 3.8385,                 4.2958,                      0,                      0,                      0,                      0,                  5.559,                 4.4809,                 4.1507,             0.00029726,             0.00029726,             0.00029726
                     23,                 5.0944,                 3.9323,                 4.1883,                      0,                      0,                      0,                      0,                 5.5556,                 4.4814,                  4.148,             0.00030996,             0.00030996,             0.00030996
                     24,                 4.6543,                 4.2356,                 4.0764,                      0,                      0,                      0,                      0,                 5.5514,                 4.4812,                 4.1447,             0.00032259,             0.00032259,             0.00032259
                     25,                  5.209,                 3.7489,                 4.0376,                      0,                      0,                      0,                      0,                 5.5468,                 4.4807,                 4.1412,             0.00033515,             0.00033515,             0.00033515
                     26,                 4.1758,                 3.3662,                 4.0263,                      0,                      0,                      0,                      0,                 5.5415,                 4.4802,                 4.1372,             0.00034763,             0.00034763,             0.00034763
                     27,                 4.5356,                 3.3198,                 3.9475,                      0,                      0,                      0,                      0,                 5.5358,                 4.4789,                 4.1331,             0.00036005,             0.00036005,             0.00036005
                     28,                 3.8385,                 3.7644,                  3.983,                      0,                      0,                      0,                      0,                 5.5295,                 4.4775,                 4.1286,             0.00037239,             0.00037239,             0.00037239
                     29,                 5.0569,                 3.5049,                 3.8484,                      0,                      0,                      0,                      0,                 5.5225,                 4.4756,                 4.1239,             0.00038467,             0.00038467,             0.00038467
                     30,                 4.4214,                 3.3455,                 3.8834,                      0,                      0,                      0,                      0,                 5.5142,                 4.4737,                  4.118,             0.00039687,             0.00039687,             0.00039687
                     31,                 4.4733,                 3.5781,                 3.9411,                      0,                      0,                      0,                      0,                 5.5032,                 4.4718,                 4.1102,               0.000409,               0.000409,               0.000409
                     32,                 4.3565,                 3.7171,                 3.8247,                      0,                      0,                      0,                      0,                 5.4912,                 4.4691,                 4.1018,             0.00042106,             0.00042106,             0.00042106
                     33,                 4.9679,                 3.7565,                 3.7513,                      0,                      0,                      0,                      0,                 5.4798,                 4.4671,                  4.094,             0.00043305,             0.00043305,             0.00043305
                     34,                 4.0081,                 3.3796,                 3.7655,                      0,                      0,                      0,                      0,                 5.4654,                 4.4661,                 4.0842,             0.00044497,             0.00044497,             0.00044497
                     35,                 4.6021,                 3.9169,                 3.7308,                      0,                      0,                      0,                      0,                 5.4476,                  4.465,                 4.0719,             0.00045682,             0.00045682,             0.00045682
                     36,                 4.5531,                 3.3994,                 3.5205,                      0,                      0,                      0,                      0,                 5.4251,                 4.4655,                 4.0566,              0.0004686,              0.0004686,              0.0004686
                     37,                 4.6699,                  3.559,                  3.596,                      0,                      0,                      0,                      0,                  5.406,                 4.4673,                 4.0439,             0.00048031,             0.00048031,             0.00048031
                     38,                  3.888,                 3.2266,                 3.5535,                      0,                      0,                      0,                      0,                 5.3886,                 4.4695,                 4.0325,             0.00049195,             0.00049195,             0.00049195
                     39,                 4.0623,                    3.2,                 3.5524,                      0,                      0,                      0,                      0,                 5.3886,                 4.4695,                 4.0325,             0.00050352,             0.00050352,             0.00050352
                     40,                 4.1735,                 3.1297,                 3.5452,                      0,                      0,                      0,                      0,                 5.3708,                 4.4729,                 4.0218,             0.00051501,             0.00051501,             0.00051501
                     41,                 4.6077,                  3.559,                 3.6826,                      0,                      0,                      0,                      0,                 5.3708,                 4.4729,                 4.0218,             0.00052644,             0.00052644,             0.00052644
                     42,                 4.0966,                 3.0163,                 3.5754,                      0,                      0,                      0,                      0,                 5.3407,                 4.4778,                 4.0035,             0.00053779,             0.00053779,             0.00053779
                     43,                 3.7769,                 3.1997,                 3.4559,                      0,                      0,                      0,                      0,                 5.3407,                 4.4778,                 4.0035,             0.00054908,             0.00054908,             0.00054908
                     44,                 4.5644,                 3.2995,                 3.3597,                      0,                      0,                      0,                      0,                 5.3373,                 4.4807,                 4.0023,             0.00056029,             0.00056029,             0.00056029
                     45,                  4.061,                 3.4358,                  3.684,                      0,                      0,                      0,                      0,                 5.3373,                 4.4807,                 4.0023,             0.00057143,             0.00057143,             0.00057143
                     46,                 4.1223,                 2.7049,                 3.2031,                      0,                      0,                      0,                      0,                 5.3258,                 4.4816,                 3.9961,              0.0005825,              0.0005825,              0.0005825
                     47,                 3.7715,                 3.2108,                 3.2211,                      0,                      0,                      0,                      0,                 5.3258,                 4.4816,                 3.9961,              0.0005935,              0.0005935,              0.0005935
                     48,                 3.8636,                 3.1993,                 3.4625,                      0,                      0,                      0,                      0,                 5.2654,                 4.4812,                 3.9605,             0.00060443,             0.00060443,             0.00060443
                     49,                  4.172,                  3.203,                 3.2101,                      0,                      0,                      0,                      0,                 5.2654,                 4.4812,                 3.9605,             0.00061529,             0.00061529,             0.00061529
                     50,                 3.9871,                 3.3721,                 3.2419,                      0,                      0,                      0,                      0,                 5.1177,                 4.4741,                 3.8819,             0.00062608,             0.00062608,             0.00062608
                     51,                 4.4081,                 3.3224,                 3.0798,                      0,                      0,                      0,                      0,                 5.1177,                 4.4741,                 3.8819,              0.0006368,              0.0006368,              0.0006368
                     52,                 3.9596,                 3.2155,                 3.3581,                      0,                      0,                      0,                      0,                 4.9415,                 4.4641,                 3.8019,             0.00064745,             0.00064745,             0.00064745
                     53,                 3.8243,                 3.2138,                 3.2776,                      0,                      0,                      0,                      0,                 4.9415,                 4.4641,                 3.8019,             0.00065802,             0.00065802,             0.00065802
                     54,                 3.8653,                 3.1337,                 3.1898,                      0,                      0,                      0,                      0,                 4.7679,                 4.4542,                 3.7379,             0.00066853,             0.00066853,             0.00066853
                     55,                 3.7409,                 3.1302,                 3.1705,                      0,                      0,                      0,                      0,                 4.7679,                 4.4542,                 3.7379,             0.00067896,             0.00067896,             0.00067896
                     56,                 3.4489,                  3.019,                 3.0954,                      0,                      0,                      0,                      0,                 4.6187,                 4.4499,                 3.6912,             0.00068933,             0.00068933,             0.00068933
